,Make,Aircraft.damage,Number.of.Engines,Engine.Type,Weather.Condition,Broad.phase.of.flight
812,1,2,2,1,1,5
813,1,2,2,1,1,9
814,1,2,1,1,1,10
815,1,3,1,1,2,7
816,1,3,2,4,2,8
817,1,2,1,1,1,5
818,1,3,2,4,1,5
819,1,2,1,1,1,7
820,1,2,2,1,1,3
821,1,2,1,1,1,2
822,1,2,1,1,1,3
823,1,2,2,1,1,9
824,1,3,1,1,1,3
825,1,2,2,1,1,9
826,1,2,1,1,1,3
827,1,3,1,1,1,5
828,1,3,2,4,2,8
829,1,2,1,1,1,9
830,1,3,2,1,2,8
831,1,2,1,1,1,5
832,1,3,1,1,2,8
833,1,3,1,1,1,9
834,1,3,1,1,2,5
835,1,2,1,1,1,9
836,1,3,1,1,2,5
837,1,2,1,1,1,8
838,1,2,2,1,1,8
839,1,2,1,1,1,6
840,1,2,2,1,1,5
841,1,3,1,1,1,3
842,1,3,1,1,1,6
843,1,2,2,1,1,8
844,1,2,1,1,1,2
845,1,2,1,1,1,3
846,1,2,2,1,1,9
847,1,2,2,4,1,9
848,1,3,1,1,1,9
849,1,2,1,1,1,3
850,1,3,2,1,2,5
851,1,2,1,1,1,3
852,1,2,1,1,1,10
853,1,2,1,1,1,3
854,1,3,1,1,1,6
855,1,3,2,1,1,3
856,1,2,2,1,1,9
857,1,2,1,1,1,3
858,1,3,1,1,2,5
859,1,3,1,1,2,8
860,1,2,1,1,1,7
861,1,3,2,1,2,4
862,1,2,2,1,1,1
863,1,2,1,1,1,5
864,1,3,2,4,2,8
865,1,3,1,1,2,5
866,1,3,2,1,1,5
868,1,3,1,1,2,10
869,1,3,1,1,2,3
870,1,2,2,1,1,3
871,1,2,2,1,2,9
872,1,3,1,1,1,3
873,1,3,2,1,2,8
874,1,3,1,1,1,5
875,1,2,2,1,1,9
876,1,3,2,1,2,10
877,1,2,1,1,1,4
878,1,2,2,1,1,9
879,1,2,1,1,1,3
880,1,3,1,1,2,3
881,1,2,1,1,1,9
882,1,2,2,1,1,3
883,1,3,2,1,1,8
884,1,2,1,1,1,5
885,1,2,1,1,1,9
886,1,3,1,1,1,5
887,1,3,1,1,2,4
888,1,2,1,1,1,5
889,1,2,2,4,2,8
890,1,2,1,1,1,3
891,1,2,1,1,2,3
892,1,3,2,1,2,5
893,1,3,2,1,1,7
894,1,2,2,1,1,3
895,1,2,2,1,1,8
896,1,3,2,1,1,9
897,1,2,2,1,1,9
898,1,2,1,1,1,5
899,1,2,1,1,1,9
900,1,3,2,1,1,5
901,1,3,1,1,2,8
902,1,3,2,1,2,10
903,1,3,1,1,1,1
904,1,2,1,1,1,7
905,1,2,2,1,1,8
906,1,2,1,1,1,5
907,1,2,2,1,1,9
908,1,2,1,1,1,9
909,1,2,2,1,1,3
910,1,2,2,4,1,8
911,1,2,2,4,1,3
912,1,2,2,1,1,9
913,1,2,1,1,1,9
914,1,3,1,1,2,5
915,1,3,1,1,1,7
917,1,2,1,1,1,5
918,1,2,1,1,1,8
919,1,2,2,1,1,9
920,1,3,1,1,2,6
921,1,2,1,1,1,5
922,1,3,2,1,1,7
923,1,2,2,4,1,6
924,1,2,2,1,1,9
925,1,2,1,1,2,7
926,1,2,2,4,1,8
927,1,2,2,1,1,3
928,1,2,1,1,1,8
929,1,2,2,1,1,9
930,1,2,1,1,1,9
931,1,2,1,1,1,9
932,1,2,1,1,1,9
933,1,2,1,1,1,9
934,1,2,2,4,2,4
935,1,2,2,4,1,4
937,1,2,1,1,1,3
938,1,3,1,1,1,3
939,1,3,2,1,2,7
940,1,2,1,1,1,3
941,1,3,1,1,2,5
942,1,3,1,1,1,5
943,1,3,1,1,1,10
944,1,2,2,1,2,8
945,1,3,1,1,1,8
946,1,3,1,1,1,3
947,1,3,1,1,1,3
948,1,2,2,1,1,9
949,1,3,2,4,1,6
950,1,2,1,1,1,2
951,1,3,1,1,1,7
952,1,2,1,1,1,5
953,1,2,1,1,1,9
954,1,2,1,1,1,3
955,1,2,1,1,1,9
956,1,2,2,1,1,9
957,1,2,1,1,1,6
958,1,3,1,1,2,6
959,1,1,2,1,1,2
960,1,2,2,1,1,5
961,1,2,2,1,1,3
962,1,2,1,1,1,10
963,1,2,1,1,1,3
964,1,2,2,1,1,9
965,1,2,1,1,1,9
966,1,3,2,1,2,8
967,1,3,1,1,1,3
968,1,2,1,1,1,3
969,1,2,2,1,1,7
970,1,3,1,1,1,8
971,1,2,2,1,1,9
972,1,3,2,1,1,7
973,1,2,2,1,1,9
974,1,2,1,1,1,3
975,1,2,2,4,1,9
976,1,2,1,1,1,9
977,1,3,1,1,1,3
978,1,2,1,1,1,9
979,1,2,2,4,1,3
980,1,2,1,1,1,9
981,1,2,1,1,1,9
983,1,2,1,1,1,3
984,1,2,1,1,1,3
985,1,3,1,1,1,9
986,1,2,1,1,1,10
987,1,2,1,1,1,9
988,1,2,1,1,1,3
989,1,2,1,1,1,5
990,1,2,1,1,1,9
991,1,3,1,1,1,3
992,1,3,2,1,1,3
993,1,2,1,1,1,8
994,1,2,1,1,1,8
995,1,2,1,1,1,9
996,1,2,2,1,2,9
997,1,2,1,1,1,9
998,1,2,2,1,2,9
999,1,2,1,1,1,3
1000,1,3,2,1,1,4
1001,1,2,2,1,1,9
1002,1,2,2,1,1,5
1003,1,2,2,1,1,9
1004,1,2,2,4,1,3
1005,1,2,2,1,1,5
1006,1,2,1,1,1,3
1007,1,2,1,1,1,8
1008,1,2,2,4,2,9
1009,1,2,1,1,1,5
1010,1,2,1,1,1,9
1011,1,2,1,1,1,1
